"","Var1","Freq"
"2","Álgebra lineal",1
"3","IE0407 Electromagnetismo II",1
"16","IE0483 Introducción a la Ingeniería Biomédica (no vale por optativa)",1
"21","IE0537 Radiometría y Fotometría",1
"23","IE0545 Mediciones Ópticas",1
"32","IE0629 Sistemas de Comunicación",1
"35","IE0727 Ingeniería de Radio",1
"36","IE0729 Redes Telefónicas",1
"41","IE1114 Temas especiales II en control ",1
"42","Sistemas incrustados",1
"7","IE0439 Optoelectrónica",2
"8","IE0445 Metrología en Ingeniería Eléctrica",2
"17","IE0505 Técnicas de Optimización",2
"19","IE0529 Sistemas Móviles en Comunicaciones",2
"27","IE0569 Sistemas de Potencia II",2
"30","IE0619 Control Eléctrico Industrial",2
"38","IE0827 Sistemas de Transmisión en Telecomunicaciones",2
"6","IE0437 Fotónica",3
"9","IE0447 Procesamiento Digital de Señales I",3
"11","IE0457 Conservación de la Energía Eléctrica",3
"20","IE0530 Laboratorio de Telecomunicaciones",3
"26","IE0565 Ingeniería de Alta Tensión",3
"29","IE0573 Diseño de Sistemas de Señales en Edificaciones",3
"39","IE0829 Teoría de Tráfico",3
"13","IE0465 Redes de Distribución y Transmisión",4
"18","IE0521 Estructuras de Computadoras Digitales II",4
"22","IE0539 Comunicaciones por Fibra Óptica",4
"37","IE0769 Protección del Sistema de Potencia",4
"33","IE0633 Automatización Industrial",5
"4","IE0432 Laboratorio de Control Automático",6
"10","IE0449 Visión por Computador",6
"14","IE0467 Distribución Eléctrica Subterránea",6
"25","IE0563 Diseño de Sistemas de Iluminación",6
"31","IE0624 Laboratorio de Microcontroladores",6
"24","IE0559 Energía Solar Fotovoltaica",7
"5","IE0433 Control e Instrumentación de Procesos Industriales",8
"28","IE0571 Diseño Eléctrico Industrial II",8
"40","IE0869 Subestaciones",8
"15","IE0483 Introducción a la Ingeniería Biomédica",10
"12","IE0461 Centrales y Subestaciones",11
"34","IE0724 Laboratorio de Programación y Microcomputadores",11
